,msd_id,echo_nest_id,artist,title,year,peak,weeks
616,TRMLGUQ128E07928FE,SOFIHIL12A6701FFF8,Vanessa Carlton,A Thousand Miles,2002,41,5
621,TRMLFJK12903CA9CC6,SOCPORZ12AB0187D93,Sinitta,Right Back Where We Started From,1989,4,84
623,TRMLFWE128F934A3AF,SOHNNWX12AB0183747,Gino Vannelli,Wild Horses,1987,15,55
626,TRMLQAP12903CBEEDC,SOBOLOM12AB0186D1C,The Sylvers,Hot Line,1994,24,5
627,TRMLTZR128F934BE53,SORFCLP12A6D4F99D8,Janet Jackson,If,1993,27,4
628,TRMLULY128F934BFEE,SOWVUOM12AB018452A,Tom Petty And The Heartbreakers,Breakdown,1976,17,40
629,TRMLLLD128F931140B,SOEINKB12AB017CE5A,Avril Lavigne,I'm With You,2001,27,4
631,TRMLSWF128F4252EB7,SOUWWBW12D02197A09,Brenda Lee,All Alone Am I,1963,15,3
634,TRMLVAP128F4281E96,SOXPAFP12A8C1362C6,Train,When I Look To The Sky,2003,14,74
636,TRMLOSC12903CE039D,SOJWERB12AB0189F55,The Vogues,Woman Helping Man,2001,6,47
638,TRMLOTC128F427E9B0,SOXEAMZ12A58A7AF1A,Atlanta Rhythm Section,So In To You,1990,19,7
